ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity

[pop]
6wNeKPXF0RDKyvfKfri5hf, 0.725, 0.708, 5, -5.331, 0, 0.0756, 0, 0.777, 0.555, 130.029, 231853, 4, 70
1rIKgCH4H52lrvDcz50hS8, 0.694, 0.712, 7, -3.923, 0, 0.046, 0, 0.211, 0.799, 98.022, 201122, 4, 80
4pdgV8qr9Oytcv6thCdiIZ, 0.848, 0.663, 8, -5.606, 0, 0.245, 0, 0.108, 0.333, 133.993, 255413, 4, 61
2bJvI42r8EF3wxjOuDav4r, 0.72, 0.802, 1, -5.797, 1, 0.0582, 0, 0.694, 0.723, 124.043, 229360, 4, 78
3QWjljChcOMkRDYSzF33Qr, 0.87, 0.502, 5, -7.497, 0, 0.0549, 0.00356, 0.0916, 0.673, 82.53, 160597, 4, 63
4scpF6J5uMBvoh6sFB7EL1, 0.888, 0.483, 6, -7.797, 1, 0.154, 4.85e-06, 0.0926, 0.226, 125.008, 200080, 4, 76
6vsV4D8BM6PioRr1UOx0n2, 0.697, 0.552, 1, -10.271, 0, 0.196, 0.127, 0.147, 0.278, 75.235, 180567, 4, 86
6Knv6wdA0luoMUuuoYi2i1, 0.688, 0.702, 7, -4.792, 0, 0.0499, 0, 0.128, 0.74, 94.006, 192191, 4, 78
4cluDES4hQEUhmXj6TXkSo, 0.726, 0.787, 4, -2.494, 1, 0.0738, 0, 0.0596, 0.888, 124.989, 199987, 4, 72
6TaqooOXAEcijL6G1AWS2K, 0.689, 0.521, 0, -5.845, 1, 0.132, 8.41e-05, 0.108, 0.178, 95.055, 229747, 4, 76
6oO10y1h2VyxJQfomG4CtH, 0.558, 0.451, 9, -6.163, 1, 0.0388, 0, 0.101, 0.238, 150.008, 265382, 4, 70
2fQxE0jVrjNMT9oJAXtSJR, 0.758, 0.554, 7, -4.567, 1, 0.0341, 0, 0.0418, 0.783, 126.986, 231840, 4, 69
4178A5NkEjcsGc64jpBO6d, 0.866, 0.859, 1, -3.087, 0, 0.0587, 0, 0.401, 0.923, 109.972, 200347, 4, 79
0e7ipj03S05BNilyu5bRzt, 0.587, 0.535, 5, -6.09, 0, 0.0898, 6.56e-05, 0.131, 0.14, 159.847, 218147, 4, 92
58q2HKrzhC3ozto2nDdN4z, 0.816, 0.726, 5, -3.998, 0, 0.129, 0, 0.372, 0.65, 136.048, 253390, 4, 90
1FY8gDAydm8CfGYp7Lv9ce, 0.648, 0.616, 6, -7.82, 1, 0.0606, 0, 0.161, 0.275, 105.985, 202347, 4, 67
3xKsf9qdS1CyvXSMEid6g8, 0.544, 0.552, 9, -7.45, 1, 0.0991, 4.57e-05, 0.415, 0.554, 159.738, 184516, 3, 78
2yJ9GVCLMmzBBfQAnfzlwr, 0.927, 0.535, 6, -7.59, 0, 0.0911, 0, 0.136, 0.336, 112.96, 313573, 4, 71
39jXnbACjiaiTwwhsr5sY5, 0.509, 0.538, 0, -6.456, 1, 0.0397, 0, 0.13, 0.178, 153.711, 223044, 4, 78
2y4lAQpi5VTNLu2ldeTdUH, 0.613, 0.622, 1, -5.794, 0, 0.0334, 0, 0.37, 0.484, 80.003, 231240, 4, 80
4lnAN2S1fcI0SjxEbksZVr, 0.707, 0.611, 2, -4.474, 1, 0.0639, 3.59e-06, 0.0651, 0.285, 123.006, 186113, 4, 75
33zcmmElV1YbRZe57biUjg, 0.746, 0.703, 4, -4.179, 0, 0.107, 0, 0.331, 0.667, 166.043, 179693, 4, 80
4ZJPwET9Jrgpkqi4Vo3Yg8, 0.656, 0.615, 5, -6.252, 1, 0.0539, 0, 0.234, 0.366, 139.91, 197253, 4, 71
05mAIVLkIWc2d1UBYZBCp8, 0.739, 0.742, 7, -4.586, 1, 0.0329, 1.39e-06, 0.229, 0.659, 124.016, 189000, 4, 83
3DXncPQOG4VBw3QHh3S817, 0.609, 0.668, 7, -4.284, 1, 0.0367, 0, 0.167, 0.811, 80.924, 288600, 4, 79
6YZdkObH88npeKrrkb8Ggf, 0.724, 0.904, 8, -3.354, 0, 0.0966, 0, 0.226, 0.846, 90.999, 200813, 4, 74
0qvzXomUDJVaUboy2wMfiS, 0.678, 0.401, 6, -8.408, 0, 0.0312, 0, 0.118, 0.194, 111.855, 232852, 4, 76
5jrdCoLpJSvHHorevXBATy, 0.645, 0.585, 6, -6.122, 1, 0.0513, 0, 0.165, 0.353, 131.931, 215672, 4, 78
5W4vPDfwFNQqt7frRjL41t, 0.709, 0.698, 1, -5.181, 1, 0.0788, 0, 0.272, 0.754, 143.949, 182947, 4, 64
