ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
57kR5SniQIbsbVoIjjOUDa,0.426,0.722,5,-5.369,0,0.196,1.27E-06,0.262,0.25,196.133,247267,4,74,0
7Ezwtgfw7khBrpvaNPtMoT,0.414,0.807,10,-4.12,0,0.348,0,0.822,0.409,175.158,191901,4,59,0
4RXpgGM7A4Hg7cFBoH5KyF,0.537,0.777,7,-4.829,0,0.0473,6.12E-05,0.0838,0.427,124.943,255093,4,79,1
7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0565,0,0.123,0.63,84.803,202533,4,80,1
2OtCtGugQwH066hxpaRNwU,0.774,0.739,0,-4.022,1,0.0952,5.95E-06,0.119,0.823,126.002,246240,4,50,0
13mWClHbl5ZqRhnWlFiJQ9,0.459,0.741,4,-6.43,0,0.0495,0,0.481,0.344,189.879,231013,4,46,0
6WAxKNbZoGNzQTIvdMqkFs,0.619,0.539,1,-5.688,0,0.0409,0,0.106,0.39,112.006,206400,4,65,0
4WiiRw2PHMNQE0ad6y6GdD,0.614,0.938,11,-4.461,1,0.0611,0,0.368,0.607,100.058,224674,4,70,0
3bvjsHQd792zIO4SKFxXKs,0.485,0.91,9,-2.096,1,0.0977,0,0.138,0.649,124.18,205027,4,61,0
46ydq5g3k17iLJs3qMDvO6,0.675,0.609,7,-5.027,0,0.0586,0,0.0957,0.378,120.039,208729,4,73,0
152lZdxL1OR0ZMW6KquMif,0.736,0.449,1,-11.462,0,0.425,0.000162,0.0898,0.326,80.126,219080,4,85,1
67WTwafOMgegV6ABnBQxcE,0.672,0.738,0,-7.045,1,0.0506,6.75E-05,0.0927,0.392,107.938,277040,4,71,0
02M6vucOvmRfMxTXDUwRXu,0.747,0.705,9,-5.137,0,0.126,0,0.126,0.56,136.024,213507,4,76,1
7KXjTSCq5nL1LoYtL7XAwS,0.908,0.621,1,-6.638,0,0.102,5.39E-05,0.0958,0.421,150.011,177000,4,86,1
0yqCB9ZjqXWncbcK0Erb8g,0.513,0.63,3,-6.333,1,0.0859,0,0.171,0.297,148.139,178307,4,44,0
6wNeKPXF0RDKyvfKfri5hf,0.725,0.708,5,-5.331,0,0.0756,0,0.777,0.555,130.029,231853,4,70,0
1rIKgCH4H52lrvDcz50hS8,0.694,0.712,7,-3.923,0,0.046,0,0.211,0.799,98.022,201122,4,80,1
4pdgV8qr9Oytcv6thCdiIZ,0.848,0.663,8,-5.606,0,0.245,0,0.108,0.333,133.993,255413,4,61,0
2bJvI42r8EF3wxjOuDav4r,0.72,0.802,1,-5.797,1,0.0582,0,0.694,0.723,124.043,229360,4,78,1
3QWjljChcOMkRDYSzF33Qr,0.87,0.502,5,-7.497,0,0.0549,0.00356,0.0916,0.673,82.53,160597,4,63,0
4scpF6J5uMBvoh6sFB7EL1,0.888,0.483,6,-7.797,1,0.154,4.85E-06,0.0926,0.226,125.008,200080,4,76,1
6vsV4D8BM6PioRr1UOx0n2,0.697,0.552,1,-10.271,0,0.196,0.127,0.147,0.278,75.235,180567,4,86,1
6Knv6wdA0luoMUuuoYi2i1,0.688,0.702,7,-4.792,0,0.0499,0,0.128,0.74,94.006,192191,4,78,1
4cluDES4hQEUhmXj6TXkSo,0.726,0.787,4,-2.494,1,0.0738,0,0.0596,0.888,124.989,199987,4,72,0
6TaqooOXAEcijL6G1AWS2K,0.689,0.521,0,-5.845,1,0.132,8.41E-05,0.108,0.178,95.055,229747,4,76,1
6oO10y1h2VyxJQfomG4CtH,0.558,0.451,9,-6.163,1,0.0388,0,0.101,0.238,150.008,265382,4,70,0
2fQxE0jVrjNMT9oJAXtSJR,0.758,0.554,7,-4.567,1,0.0341,0,0.0418,0.783,126.986,231840,4,69,0
4178A5NkEjcsGc64jpBO6d,0.866,0.859,1,-3.087,0,0.0587,0,0.401,0.923,109.972,200347,4,79,1
0e7ipj03S05BNilyu5bRzt,0.587,0.535,5,-6.09,0,0.0898,6.56E-05,0.131,0.14,159.847,218147,4,92,1
58q2HKrzhC3ozto2nDdN4z,0.816,0.726,5,-3.998,0,0.129,0,0.372,0.65,136.048,253390,4,90,1
1FY8gDAydm8CfGYp7Lv9ce,0.648,0.616,6,-7.82,1,0.0606,0,0.161,0.275,105.985,202347,4,67,0
3xKsf9qdS1CyvXSMEid6g8,0.544,0.552,9,-7.45,1,0.0991,4.57E-05,0.415,0.554,159.738,184516,3,78,1
2yJ9GVCLMmzBBfQAnfzlwr,0.927,0.535,6,-7.59,0,0.0911,0,0.136,0.336,112.96,313573,4,71,0
39jXnbACjiaiTwwhsr5sY5,0.509,0.538,0,-6.456,1,0.0397,0,0.13,0.178,153.711,223044,4,78,1
2y4lAQpi5VTNLu2ldeTdUH,0.613,0.622,1,-5.794,0,0.0334,0,0.37,0.484,80.003,231240,4,80,1
4lnAN2S1fcI0SjxEbksZVr,0.707,0.611,2,-4.474,1,0.0639,3.59E-06,0.0651,0.285,123.006,186113,4,75,1
33zcmmElV1YbRZe57biUjg,0.746,0.703,4,-4.179,0,0.107,0,0.331,0.667,166.043,179693,4,80,1
4ZJPwET9Jrgpkqi4Vo3Yg8,0.656,0.615,5,-6.252,1,0.0539,0,0.234,0.366,139.91,197253,4,71,0
05mAIVLkIWc2d1UBYZBCp8,0.739,0.742,7,-4.586,1,0.0329,1.39E-06,0.229,0.659,124.016,189000,4,83,1
3DXncPQOG4VBw3QHh3S817,0.609,0.668,7,-4.284,1,0.0367,0,0.167,0.811,80.924,288600,4,79,1
6YZdkObH88npeKrrkb8Ggf,0.724,0.904,8,-3.354,0,0.0966,0,0.226,0.846,90.999,200813,4,74,0
0qvzXomUDJVaUboy2wMfiS,0.678,0.401,6,-8.408,0,0.0312,0,0.118,0.194,111.855,232852,4,76,1
5jrdCoLpJSvHHorevXBATy,0.645,0.585,6,-6.122,1,0.0513,0,0.165,0.353,131.931,215672,4,78,1
5W4vPDfwFNQqt7frRjL41t,0.709,0.698,1,-5.181,1,0.0788,0,0.272,0.754,143.949,182947,4,64,0
2RttW7RAu5nOAfq6YFvApB,0.522,0.385,0,-7.355,1,0.0288,0,0.135,0.236,89.792,207520,4,87,1
5Ck3e6z1bcSCes5gdo0Ddt,0.633,0.576,6,-7.837,1,0.0522,3.37E-05,0.127,0.296,119.799,256080,4,66,0
5kRPPEWFJIMox5qIkQkiz5,0.427,0.262,7,-8.541,1,0.0276,0,0.068,0.228,104.085,224867,4,76,1
2eAZfqOm4EnOF9VvN50Tyc,0.703,0.757,1,-3.612,1,0.05,0,0.106,0.696,82.008,221747,4,81,1
2s0Dn2mtvp94wUkyaB8nJc,0.765,0.621,0,-3.827,0,0.025,0,0.0369,0.798,102.065,212267,4,61,0
3u0qM9FSgL3zXi1Vn75b0i,0.781,0.853,1,-3.68,0,0.0715,0,0.12,0.624,110.049,250189,4,25,0
2cOUlop2ZakjOKe4WinesN,0.726,0.431,0,-6.666,1,0.0554,0,0.054,0.86,85.889,188174,4,80,1
2fUZ3aMp8amSaV0mp8s6rQ,0.711,0.882,0,-4.276,1,0.0576,0,0.226,0.56,106.017,167038,4,69,0
0wwPcA6wtMf6HUMpIRdeP7,0.903,0.621,2,-8.132,1,0.0578,0.000186,0.0504,0.553,134.969,267067,4,79,1
7oGZAicScQt96OAW4AruYy,0.775,0.68,0,-5.508,0,0.0629,0,0.109,0.656,114.025,207719,4,77,1
6875MeXyCW0wLyT72Eetmo,0.668,0.613,4,-4.225,1,0.102,0,0.102,0.498,99.852,181933,4,48,0
3E2Zh20GDCR9B1EYjfXWyv,0.673,0.637,5,-4.518,1,0.0429,0,0.184,0.678,123.98,201160,4,56,0
4EAV2cKiqKP5UPZmY6dejk,0.67,0.752,1,-4.146,1,0.0374,0,0.0749,0.442,149.961,204747,4,84,1
5uQOauh47VFt3B2kV9kRXw,0.812,0.621,5,-8.3,1,0.0515,0,0.099,0.847,77.998,128157,4,74,0
27PmvZoffODNFW2p7ehZTQ,0.464,0.771,8,-4.503,1,0.336,0,0.063,0.69,158.777,198237,4,71,0
1CnPYaKxTVb4LWOtiGOm0m,0.617,0.567,0,-4.188,1,0.0828,0,0.0933,0.505,90.246,217603,4,76,1
77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,2,-4.979,1,0.093,2.17E-05,0.111,0.188,100.584,211440,4,81,1
7MRY4VpCuZvBmFda6ZCk2G,0.479,0.727,4,-5.369,1,0.0357,1.97E-05,0.0644,0.0577,180.09,253249,4,35,0
