ID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Time Signature,Popularity,Class
4ZJPwET9Jrgpkqi4Vo3Yg8,0.656,0.615,5,-6.252,1,0.0539,0,0.234,0.366,139.91,197253,4,71,0
0QsvXIfqM0zZoerQfsI9lm,0.542,0.859,11,-5.651,1,0.197,0.00466,0.137,0.403,159.797,208053,4,43,0
7e6FvCvngX5job1PUYIIIL,0.744,0.634,8,-7.942,0,0.247,0,0.223,0.333,104.018,184840,4,69,0
5WoaF1B5XIEnWfmb5NZikf,0.674,0.506,6,-10.532,1,0.0434,0,0.0866,0.183,145.965,259333,4,78,1
19gEmPjfqSZT0ulDRfjl0m,0.794,0.51,9,-7.314,1,0.42,1.81E-06,0.0562,0.18,167.879,194561,4,74,0
0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0,-3.417,0,0.0909,0,0.38,0.749,150.035,199387,4,80,1
2NlTOhsAamXOaZciOXbITb,0.693,0.717,9,-6.346,0,0.107,0,0.0464,0.412,99.836,234308,4,73,0
0b9oOr2ZgvyQu88wzixux9,0.854,0.463,5,-6.159,1,0.137,0,0.354,0.549,120.024,225773,4,81,1
54l9GJGQ1UCFKe2tzt1Vxt,0.607,0.74,4,-4.793,0,0.172,0,0.105,0.219,108.05,189401,4,77,1
4kflIGfjdZJW4ot2ioixTB,0.559,0.33,9,-8.251,1,0.0285,0,0.0975,0.285,135.109,285040,4,79,1
3JEzGRDUsozrehZTq3dKE8,0.419,0.655,0,-6.679,1,0.247,0,0.0962,0.353,76.835,215297,3,61,0
6WAxKNbZoGNzQTIvdMqkFs,0.619,0.539,1,-5.688,0,0.0409,0,0.106,0.39,112.006,206400,4,65,0
77UjLW8j5UAGAGVGhR5oUK,0.735,0.677,2,-4.979,1,0.093,2.17E-05,0.111,0.188,100.584,211440,4,81,1
6JV2JOEocMgcZxYSZelKcc,0.667,0.83,0,-5.715,1,0.0749,0,0.191,0.701,113.03,236002,4,80,1
39jXnbACjiaiTwwhsr5sY5,0.509,0.538,0,-6.456,1,0.0397,0,0.13,0.178,153.711,223044,4,78,1
6JG0qhINKVwiHxqN85j7RG,0.607,0.784,7,-6.293,1,0.268,0,0.689,0.482,81.004,278573,4,72,0
4tERsdVCLtLtrGdFBf9DGC,0.715,0.742,0,-4.331,1,0.0347,2.47E-05,0.364,0.322,106.971,230880,4,73,0
6olUplztLFFfU7fMYmFXOP,0.699,0.601,0,-6.48,1,0.0304,1.17E-05,0.562,0.434,98.04,252013,4,66,0
4BHzQ9C00ceJxfG16AlNWb,0.69,0.524,6,-8.39,0,0.103,3.16E-06,0.17,0.562,164.023,223080,4,73,0
4pdgV8qr9Oytcv6thCdiIZ,0.848,0.663,8,-5.606,0,0.245,0,0.108,0.333,133.993,255413,4,61,0
2S2od3hT7ceytw7d1pTRuE,0.664,0.738,9,-4.095,0,0.0338,5.75E-05,0.135,0.203,119.973,193962,4,77,1
2mj7x99sNUsVHPBRK51zlG,0.599,0.396,10,-10.489,0,0.0392,2.19E-05,0.102,0.134,111.072,246327,4,70,0
2H881m3JRA8lpuuwaQL6zy,0.614,0.682,11,-4.117,0,0.102,0,0.134,0.566,100.202,169853,4,68,0
1n8ZUpQ0iVY6gVBgEUdA2Q,0.61,0.707,8,-5.029,1,0.0579,0,0.0538,0.669,157.975,198227,4,35,0
0E6PsO3ymCfUh7pJQjBgkj,0.705,0.784,2,-6.477,1,0.271,0,0.168,0.377,160.035,264853,4,72,0
5wUUWVRvrciJqFitZF8R0P,0.643,0.541,2,-5.801,1,0.0426,0,0.102,0.165,119.501,311197,4,69,0
7t2bFihaDvhIrd2gn2CWJO,0.805,0.33,1,-8.712,0,0.1,0,0.105,0.211,121.97,242983,4,79,1
1ZY1PqizIl78geGM4xWlEA,0.8,0.535,7,-6.684,1,0.135,9.48E-06,0.213,0.451,92.027,209680,4,72,0
5o4yGlG0PfeVUa6ClIyOxq,0.867,0.545,2,-5.192,1,0.0625,0.000289,0.0505,0.525,139.943,162586,4,73,0
1FY8gDAydm8CfGYp7Lv9ce,0.648,0.616,6,-7.82,1,0.0606,0,0.161,0.275,105.985,202347,4,67,0
4NYwy0R3NdvORX2B6OZXBT,0.733,0.408,7,-7.834,0,0.0388,3.92E-05,0.11,0.291,94.947,197854,4,74,0
6jG2YzhxptolDzLHTGLt7S,0.589,0.621,5,-6.902,0,0.0468,0.00104,0.181,0.401,140.03,323480,4,75,1
1mKXFLRA179hdOWQBwUk9e,0.778,0.547,2,-7.273,1,0.0489,0.000302,0.132,0.441,95.002,242733,4,78,1
5Ck3e6z1bcSCes5gdo0Ddt,0.633,0.576,6,-7.837,1,0.0522,3.37E-05,0.127,0.296,119.799,256080,4,66,0
1JCCdiru7fhstOIF4N7WJC,0.572,0.499,2,-5.237,1,0.0311,0,0.213,0.108,101.593,237248,4,69,0
3pXF1nA74528Edde4of9CC,0.765,0.356,11,-5.556,0,0.196,0,0.0963,0.19,97.001,198293,4,80,1
0fYVliAYKHuPmECRs1pbRf,0.526,0.862,2,-6.003,1,0.0905,0.0597,0.229,0.528,90.052,195200,4,76,1
000xQL6tZNLJzIrtIgxqSl,0.748,0.627,7,-6.029,1,0.0644,0,0.0852,0.524,120.963,188491,4,70,0
1Eck97uRMlprKOOJN9oO1E,0.565,0.771,1,-5.22,1,0.213,0,0.0568,0.573,168.385,225526,4,66,0
6oO10y1h2VyxJQfomG4CtH,0.558,0.451,9,-6.163,1,0.0388,0,0.101,0.238,150.008,265382,4,70,0
343YBumqHu19cGoGARUTsd,0.927,0.488,9,-9.433,0,0.42,0,0.196,0.605,133.987,210937,4,77,1
6YZdkObH88npeKrrkb8Ggf,0.724,0.904,8,-3.354,0,0.0966,0,0.226,0.846,90.999,200813,4,74,0
1HOUzEsetdIPSpAgRPhZQt,0.708,0.612,5,-6.379,0,0.122,0,0.277,0.263,139.913,229013,4,71,0
6i0V12jOa3mr6uu4WYhUBr,0.732,0.396,4,-9.348,0,0.0286,3.58E-05,0.105,0.548,90.024,195920,4,83,1
6Jl4RXW8Nyx8dyohnihJeT,0.554,0.645,6,-7.563,0,0.0665,0,0.21,0.142,105.513,221899,4,30,0
1rqqCSm0Qe4I9rUvWncaom,0.579,0.904,5,-2.729,1,0.0618,0,0.064,0.681,82.014,190947,4,95,1
2NVt7fxr5GsqTkGwYXcNTE,0.676,0.615,6,-7.534,0,0.0496,0,0.341,0.883,163.993,176675,4,60,0
3AYcyxEACnmE6d96RPubID,0.781,0.526,6,-6.985,0,0.293,0,0.0457,0.662,94.992,235613,4,68,0
1wYZZtamWTQAoj8B812uKQ,0.376,0.821,0,-3.974,1,0.104,0,0.0823,0.331,120.462,199453,4,68,0
6mDoM5FGbr1Or5nY9pTnLy,0.635,0.496,0,-7.301,1,0.0936,0,0.121,0.373,121.696,235082,4,63,0
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0,0.111,0.661,95.01,244960,4,87,1
7Ezwtgfw7khBrpvaNPtMoT,0.414,0.807,10,-4.12,0,0.348,0,0.822,0.409,175.158,191901,4,60,0
1ZY1PqizIl78geGM4xWlEA,0.8,0.535,7,-6.684,1,0.135,9.48E-06,0.213,0.451,92.027,209680,4,72,0
2jB9QaPJyVdz2Q0Va8rrnU,0.606,0.887,9,-4.782,0,0.052,3.47E-06,0.0958,0.349,97.972,191787,4,67,0
6WAxKNbZoGNzQTIvdMqkFs,0.619,0.539,1,-5.688,0,0.0409,0,0.106,0.39,112.006,206400,4,65,0
6V2D8Lls36APk0THDjBDfE,0.794,0.522,8,-7.829,1,0.159,0,0.156,0.567,86.318,174133,4,69,0
3x2YIvkLcxvZQsA5x6xyIR,0.659,0.911,4,-2.28,1,0.0786,0.000304,0.191,0.576,91.999,169866,4,50,0
3nodtPfXcok53E8Uze8gvD,0.635,0.659,8,-4.92,1,0.155,0,0.302,0.54,178.018,187589,4,64,0
6ZeQp2XTOiPCePWRfCHSo5,0.422,0.321,5,-8.952,1,0.0294,2.33E-06,0.429,0.28,78.533,196347,4,59,0
2eAZfqOm4EnOF9VvN50Tyc,0.703,0.757,1,-3.612,1,0.05,0,0.106,0.696,82.008,221747,4,81,1
3u1S1OmAUhx5DRlLrXqyp3,0.69,0.784,1,-4.653,1,0.032,0,0.203,0.669,106.066,194408,4,87,1
0E6PsO3ymCfUh7pJQjBgkj,0.705,0.784,2,-6.477,1,0.271,0,0.168,0.377,160.035,264853,4,72,0
5nN8BwAQDJDguq7Dpd3JQQ,0.813,0.453,1,-6.941,1,0.338,0,0.14,0.191,161.997,208027,4,68,0
2fUZ3aMp8amSaV0mp8s6rQ,0.711,0.882,0,-4.276,1,0.0576,0,0.226,0.56,106.017,167038,4,70,0
6t2ubAB4iSYOuIpRAOGd4t,0.786,0.854,2,-4.247,1,0.0523,1.63E-06,0.179,0.687,105.078,157165,4,65,0
6F5c58TMEs1byxUstkzVeM,0.554,0.772,7,-4.821,0,0.0418,6.60E-06,0.354,0.455,179.984,223546,4,78,1
0B1QTVABE86QcHjXdPfeej,0.61,0.803,1,-4.523,1,0.035,2.92E-05,0.0386,0.438,89.997,191027,4,26,0
2fQxE0jVrjNMT9oJAXtSJR,0.758,0.554,7,-4.567,1,0.0341,0,0.0418,0.783,126.986,231840,4,69,0
5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0,-4.057,1,0.0474,0,0.165,0.55,92.213,210773,4,86,1
5W4vPDfwFNQqt7frRjL41t,0.709,0.698,1,-5.181,1,0.0788,0,0.272,0.754,143.949,182947,4,64,0
1oc3jna2ablnfIKLYbKujl,0.67,0.853,8,-4.515,1,0.0884,0,0.0602,0.615,103.843,189000,4,35,0
00vk0sEfb6mr2ehwSw0Uhn,0.773,0.849,8,-8.345,0,0.0587,0.0103,0.397,0.913,119.981,192227,4,59,0
5GNjiM8jZCgbqjHklAcT9e,0.755,0.682,0,-4.799,1,0.0339,0,0.189,0.498,122.049,219040,4,70,0
3JEzGRDUsozrehZTq3dKE8,0.419,0.655,0,-6.679,1,0.247,0,0.0962,0.353,76.835,215297,3,61,0
4wCmqSrbyCgxEXROQE6vtV,0.857,0.517,0,-6.972,1,0.0384,0.000195,0.102,0.754,129.063,244973,4,75,1
4F7A0DXBrmUAkp32uenhZt,0.572,0.631,1,-8.389,1,0.104,2.31E-05,0.259,0.219,77.519,249213,4,75,1
3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,10,-4.078,0,0.341,0,0.107,0.747,82.695,187973,4,86,1
57kR5SniQIbsbVoIjjOUDa,0.426,0.722,5,-5.369,0,0.196,1.27E-06,0.262,0.25,196.133,247267,4,74,0
